,fr,ru,ru_opusmt,ru_pred
10305,Où as-tu eu l'idée ?,С чего ты это взял?,Откуда у тебя идея?,Откуда у тебя идея?
10307,Ce ticket est valable pendant trois mois.,Этот билет действителен в течение трёх месяцев.,Этот билет действительна три месяца.,Этот билет действует три месяца.
10308,Il eut l'amabilité de me conduire à l'hôpital.,"Он был так добр, что отвёз меня в больницу.",У него было время отвезти меня в больницу.,"Он был рад, что привез меня в больницу."
10309,Je partais de chez moi quand Tom me téléphona.,"Я выходил из дома, когда Том мне позвонил.","Я уезжал из дома, когда Том позвонил мне.","Я ушел из дома, когда Том звонил мне."
10310,Il est toujours en train de rire.,Он постоянно смеётся.,Он все еще смеется.,Он всё ещё смеется.
10312,Je n'avais jamais vu ce genre de poisson jusqu'à maintenant.,Я никогда раньше таких рыб не видел.,Я никогда не видел эту рыбу до сих пор.,Я не видел эту рыбу до сих пор.
10313,Je n'avais aucune idée que cela te causerait autant de problèmes.,"Я и не представлял, что у тебя из-за этого будет столько проблем.","Я понятия не имел, что это может вызвать у тебя столько проблем.","Не знаю, что это тебя заставило бы."
10314,Peux-tu me prêter ton vélo ?,Можешь одолжить мне свой велосипед?,Можешь дать мне свой велосипед?,Можешь дать мне свой велосипед?
10315,Je ne suis pas du tout fatigué.,Я совсем не устал.,Я совсем не устал.,Я не устал.
10317,Ton père est grand.,Твой отец высокий.,Твой отец взрослый.,Твой отец большой.
10319,Il rassembla ses jouets.,Он собрал свои игрушки.,Он собрал свои игрушки.,Он собрал игрушки.
10320,Je me demande où elle est partie.,"Интересно, куда она пошла.","Интересно, куда она ушла.","Интересно, где она ушла."
10321,Je suis aussi fatigué que l'on peut l'être.,"Я устал так, что дальше некуда.","Я так же устала, как и мы.","Я устал, как и мы."
10322,Rien n'est aussi important que la paix.,Нет ничего важнее мира.,"Ничего не столь важного, как мир.","Ничто не столь важно, как мир."
10323,Cela ressemble à un œuf.,Оно выглядит как яйцо.,Это похоже на яйцо.,Это похоже на яйцо.
10325,Nous nageâmes dans le lac.,Мы купались в озере.,Мы плакали в озере.,Мы плакали в озере.
10326,L'alarme-incendie sonna.,Сработала пожарная сигнализация.,Сона пожарная тревога.,Сна пожарная тревога.
10327,Macbeth de Shakespeare est une tragédie.,"""Макбет"" Шекспира - это трагедия.",Макбет из Шекспира - трагедия.,Макбет из Шекспира - трагедия.
10328,Nous restâmes silencieux.,Мы промолчали.,Мы были тихими.,Мы глушили.
10329,Nous vîmes l'enfant monter dans le bus.,"Мы видели, как ребенок сел в автобус.",Мы посадили ребенка в автобус.,Мы посадили ребенка в автобус.
10331,Elle dit qu'elle était heureuse.,"Она сказала, что счастлива.","Она сказала, что счастлива.","Она сказала, что счастлива."
10333,Nous devons aller à l'école.,Нам надо в школу.,Нам нужно идти в школу.,Нам нужно идти в школу.
10334,Tu peux te blesser si tu ne suis pas les procédures de sécurité.,"Ты можешь пораниться, если не будешь следовать правилам безопасности.","Ты можешь навредить себе, если ты не справишься с процедурами безопасности.","Ты можешь причинить боль, если не будешь отвечать за безопасность."
10335,Je doute qu'il vienne.,"Сомневаюсь, что он придёт.","Я сомневаюсь, что он придет.","Думаю, он придёт."
10336,Je m'arrangerai pour que quelqu'un vienne te chercher chez toi.,"Я договорюсь, чтобы кто-нибудь заехал за тобой.","Я позабочусь о том, чтобы кто-то пришёл за тобой домой.","Я справлюсь, чтобы кто-то пришел за тобой."
10337,Les gens ici sont accoutumés au froid.,Люди здесь привыкли к холоду.,Люди здесь в холоде.,Здесь люди охлаждаются.
10339,Je ne sais pas quand elle s'est mariée.,"Я не знаю, когда она вышла замуж.","Я не знаю, когда она вышла замуж.","Не знаю, когда она вышла замуж."
10340,Que fais-tu ?,Ты что делаешь?,Что ты делаешь?,Что ты делаешь?
10341,Elle refusa mon offre.,Она отклонила моё предложение.,Она отказалась от моего предложения.,Она отказалась от моего предложения.
10343,Nous sommes allés au parc pour prendre des photos.,Мы пошли в парк пофотографировать.,"Мы поехали в парк, чтобы сфотографировать.","Мы поехали в парк, чтобы сфотографировать."
10344,C'est mon livre.,Это моя книга.,Это моя книга.,Это моя книга.
10345,C'est mon dictionnaire.,Это мой словарь.,Это мой словарь.,Это мой словарь.
10346,Ce livre contient de nombreuses images.,В этой книге много картинок.,Эта книга содержит множество изображений.,В книге много картин.
10348,Puis-je prendre des photos ici ?,Можно здесь фотографировать?,Могу я сфотографировать здесь?,Могу я сделать здесь фотографии? Да.
10349,Mon frère adore prendre des photos des montagnes.,Мой брат любит фотографировать горы.,Мой брат любит фотографировать горы.,Мой брат любит фотографировать горы.
10350,Mon passe-temps est de prendre des photos de fleurs sauvages.,Мое хобби - фотографировать дикие цветы.,Моя продолжительность - фотографировать дикие цветы.,Мое время - фотографировать дикие цветы.
10351,"Prends ton temps, Yoshida.","Йосида, не торопись.","Возьми время, Йошида.","Не торопись, Йошида."
10352,Prenez votre temps.,Не торопитесь.,Не торопитесь.,Постарайтесь.
10353,Nos yeux prennent du temps pour s'adapter au noir.,"Нашим глазам нужно время, чтобы привыкнуть к темноте.","Наши глаза тратят время, чтобы приспособиться к темноте.","Наши глаза ходят на время, чтобы приспособиться к темноте."
10354,Sois patient et persévérant. Ces choses prennent du temps.,Будь терпеливым и настойчивым. Для таких вещей требуется время.,"Будь терпеливым и упорным, это займет много времени.","Будь терпеливым и упорным, это займет время."
10355,Prends ton temps. Il n'y a pas d'urgence.,Не спеши. Торопиться некуда.,Немедленно.,- Немедленно.
10356,Fais-le quand tu auras du temps.,"Сделай это, когда будет время.","Сделай это, когда у тебя будет время.","Делай это, когда у тебя будет время."
10357,Je n'ai pas le temps de lire.,У меня нет времени читать.,У меня нет времени читать.,У меня нет времени читать.
10360,Je mange du riz.,Я ем рис.,Я ем рис.,Я ем рис.
10361,Je passe un examen en janvier.,В январе у меня экзамен.,Я провожу экзамен в январе.,Я провожу экзамен в январе.
10362,Je n'ai jamais vu une pastèque aussi énorme !,Я никогда не видел такого гигантского арбуза!,Я никогда не видела такой огромный аттек!,Я никогда не видел такой огромный аттек!
10363,C'est une variété de pastèque.,Это такой арбуз.,Это разновидность патек.,Это разновидность патек. - Да.
10365,Il y a une orange sur la table.,На столе лежит апельсин.,На столе есть апельсин.,На столе есть апельсин.
10366,Puis-je avoir cette orange ?,Можно мне этот апельсин?,Можно мне этот апельсин?,Могу я получить оранжевый?
10367,Je voudrais du jus d'orange.,Я хотел бы апельсинового сока.,Я бы хотел сок с апельсином.,Я бы хотела сока.
10368,L'orange a laissé un goût étrange dans ma bouche.,Апельсин оставил странный вкус у меня во рту.,Апангел оставил странный вкус в моем роте.,Аранжевая оставила странный вкус в моем роте.
10369,Ce fruit est similaire à une orange par sa forme et à un ananas par son goût.,Этот фрукт похож на апельсин по форме и на ананас по вкусу.,Этот плод похож на апельсин с его формой и ананасом по вкусу.,Этот плод аналогичн апельсину по форме и ананасу в его вкусе.
10372,On m'a volé ma bicyclette hier soir.,Вчера вечером у меня украли велосипед.,Вчера меня украли на велосипеде.,Вчера меня украли.
10374,À qui est cette bicyclette ?,Чей это велосипед?,Кто этот велосипед?,Кому этот велосипед?
10375,C'est ma bicyclette.,Это мой велосипед.,Это мой велосипед.,Это мой велосипед.
10376,Cette bicyclette a besoin d'être réparée.,Этот велосипед нужно починить.,Этот велосипед нуждается в ремонте.,Этот велосипед нуждается в ремонте.
10377,Sa bicyclette est bleue.,У него синий велосипед.,Его велосипед синий.,- Его велосипед синий.
10380,Cette bicyclette m'appartient.,Этот велосипед принадлежит мне.,Этот велосипед принадлежит мне.,"Это велосипед, который принадлежит мне."
10381,Il y est allé en bicyclette.,Он поехал на велосипеде.,Он был там на велосипеде.,Он пошел на велосипед.
10382,Nous avons une bonne nouvelle.,У нас есть хорошая новость.,У нас хорошие новости.,У нас есть хорошие новости.
10384,La nouvelle l'a rendue triste.,Новость её огорчила.,Новость сделала его грустным.,Новость сделала его грустным.
10386,La nouvelle lui a brisé le cœur.,Новость разбила ему сердце.,Новость разбила ему сердце.,Новая сломала ему сердце.
10387,J'avais envie de pleurer.,Мне хотелось плакать.,Я хотел плакать.,Я хотела плакать.
10388,Je me sentais très heureux.,Я чувствовал себя очень счастливым.,Я чувствовала себя очень счастливой.,Я чувствовала себя очень счастливой.
10389,Je me sentais seul.,Мне было одиноко.,Я чувствовал себя одиноким.,Мне было одиноко.
10390,Je me suis senti très gêné.,Я почувствовал себя очень неловко.,Я чувствовала себя очень смущенно.,Мне было очень стыдно.
10392,Jamais ne me suis-je senti aussi bien.,Я ещё никогда не чувствовал себя так хорошо.,Я никогда не чувствовал себя так хорошо.,Никогда не чувствовал себя так хорошо.
10394,"Après avoir bien dormi, je me suis senti beaucoup mieux.","Как следует выспавшись, я почувствовал себя намного лучше.","После того, как я спала, мне стало намного лучше.","После того как я спал, я чувствовала себя намного лучше."
10396,J'avais l'impression d'être mort.,"У меня было такое чувство, что я умер.","Мне казалось, что я умер.","Мне казалось, что я умер."
10397,Je me sentais comme dans un rêve.,Я чувствовал себя как во сне.,Я чувствовал себя как сон.,Я чувствовала себя как в сне.
10398,Je me suis senti très soulagé après avoir dit tout ce que j'avais à dire.,"Я почувствовал большое облегчение после того, как сказал всё, что должен был сказать.","Я чувствовала себя очень облегчение после того, как сказала все, что я должен был сказать.","Я чувствовал себя очень облегчение, когда сказал все, что мне нужно было сказать."
10399,J'avais tellement envie de dormir que je pouvais à peine garder mes yeux ouverts.,"Я так хотел спать, что глаза сами закрывались.","Мне так хотелось спать, что я едва могу держать свои глаза открытыми.","Я так хотела спать, что не могу держать свои глаза открытыми."
10401,Je devrais arrêter la procrastination.,Мне надо бы перестать откладывать всё на потом.,Я должен остановить прокраску.,Мне нужно прекратить прокрасивую работу.
10402,Ce travail ne paie pas.,Эта работа не окупается.,Эта работа не платит.,Работа не оплачивается.
10403,"Inutile de me menacer, je ne dirai rien.","Угрожать мне бесполезно, я ничего не скажу.","Мне не нужно угрожать, я ничего не скажу.","Мне не нужно угрожать, я ничего не скажу."
10404,Je comprends ce que tu ressens.,"Я понимаю, что ты чувствуешь.","Я понимаю, что ты чувствуешь.","Понимаю, что ты чувствуешь."
10405,Il y a un chemin à travers les champs.,Есть дорога через поля.,Есть путь по полям.,В поле есть путь.
10406,Dans quel but est-il venu ici ?,С какой целью он пришёл сюда?,С какой целью он пришел сюда?,В какой цели он пришел сюда?!
10407,Il y avait deux gâteaux.,Было два пирога.,Там было два торта.,Там было два торта.
10408,Le garçon que j'aime ne m'aime pas.,"Мальчик, которого я люблю, не любит меня.","Мальчик, которого я люблю, не любит меня.","Мальчик, которого я люблю, не любит меня."
10409,"À ce propos, l'as-tu vu dernièrement ?","Кстати, ты видел его в последнее время?",В этой связи ты видела его в последнее время?,Ты видел его недавно?
10410,Il y avait beaucoup de monde au concert.,На концерте было много народа.,На концерте было много людей.,На концерте было много людей.
10412,As-tu déjà visité Kyoto ?,Ты бывал в Киото?,Ты когда-нибудь посещал Киото?,Ты когда-нибудь посещал Киото?
10413,Puis-je me reposer un peu ?,Могу я немного отдохнуть?,Могу я немного отдохнуть?,Могу я немного отдохнуть?
10415,L'oiseau était couvert de plumes blanches.,Птица была покрыта белыми перьями.,Птичка была покрыта белыми перьями.,В птице было покрыто белым перьям.
10416,Mon père a déjà arrêté de fumer et de boire.,Мой отец уже бросил пить и курить.,Мой отец уже перестал курить и пить.,Мой отец уже перестал курить и пить.
10417,Un homme doit travailler.,Человек должен работать.,Мужчина должен работать.,Мужчина должен работать.
10419,Tu ne peux pas boire l'eau de mer car elle est trop salée.,"Морскую воду невозможно пить, потому что она слишком солёная.","Ты не можешь пить морскую воду, потому что она слишком сумасшедшая.","Ты не можешь пить воду из моря, потому что она слишком солгала."
10420,"Les policiers leur dirent ""Stop"".","Полицейские сказали им: ""Стоп"".","Полицейские сказали им ""Стоп.""","Полицейские сказали им ""Стоп."""
10421,Tu dois étudier plus.,Ты должен больше заниматься.,Тебе нужно больше учиться.,Тебе нужно больше учиться.
10422,Je promène mon chien dans le parc tous les matins.,Каждое утро я выгуливаю свою собаку в парке.,Я развлекаю свою собаку в парке каждое утро.,Я развлекаю собаку в парке каждое утро.
10423,Bois ta soupe tant qu'elle est chaude.,"Ешь свой суп, пока он горячий.","Выпей суп, пока она горячая.","Выпей суп, пока она горячая."
10425,Tom sait parler allemand aussi bien qu'anglais.,"Том говорит по-немецки так же хорошо, как и по-английски.","Том знает как немецкий, так и английский.","Том знает, как немецкий, так и английский."
10426,Je veux que ce travail soit fini demain à 14 heures.,"Я хочу, чтобы эта работа была закончена завтра к двум часам дня.","Я хочу, чтобы эта работа закончилась завтра в 14:00.","Хочу, чтобы эта работа была закончена завтра в 14.00."
10427,J'ai besoin de savoir pour demain.,Мне надо знать к завтрашнему дню.,Мне нужно знать о завтрашнем дне.,Мне нужно знать на завтра.
10428,Il y a une pomme sur la table.,На столе лежит яблоко.,На столе есть яблоко.,На столе яблоко.
10429,Elle aimait ses enfants pareil.,Она любила своих детей одинаково.,Она любила своих детей.,Она любила своих детей.
10430,Tu ne dois pas fumer pendant que tu travailles.,Ты не должен курить во время работы.,"Ты не должна курить, пока работаешь.","Ты не должна курить, пока работаешь."
10431,La Terre a une forme similaire à celle d'une orange.,Земля имеет форму апельсина.,"Земля имеет такую же форму, как и апельсин.",Земля похожа на оранжевый.
10433,Qui l'a construit ?,Кто его построил?,Кто его построил?,Кто его построил?
10434,Neigera-t-il ce soir ?,Сегодня вечером будет снег?,Он сегодня не займётся?,Сегодня он зайдет?!
10435,"Tu peux partir ou rester, comme tu le souhaites.","Можешь уйти или остаться, как хочешь.","Ты можешь уйти или остаться, как хочешь.","Ты можешь уйти или остаться, как хочешь."
10436,Elle a essayé diverses méthodes pour maigrir.,Она перепробовала множество способов похудеть.,"Она пыталась попробовать различные методы, чтобы победить.","Она попробовала различные методы, чтобы сесть в горло."
10437,Elle est non seulement belle mais aussi intelligente.,"Она не только красива, но и умна.","Она не только красивая, но и умная.","Она не только красивая, но и умная."
10438,Son long discours m'a ennuyé.,Его длинная речь меня утомила.,Его долгая речь меня скучала.,Его долгие речи меня скучали.
10440,Nous avons deux filles.,У нас две дочки.,У нас двое девушек.,У нас двое девушек.
10443,"Si je l'avais su, je ne lui aurais jamais dit de telles choses.","Если бы я об этом знал, я бы никогда ему такого не сказал.","Если бы я знала, я бы никогда не говорил ему об этом.","Если бы я знала, я бы никогда не говорил ему об этом."
10445,Comment se fait-il que tu ne le saches pas ?,Как это ты об этом не знаешь?,Как ты не знаешь?,Как ты не знаешь?
10446,La pluie commença à tomber.,Пошёл дождь.,Дождь упала.,Дождь упала.
10447,"Tout à fait par chance, je rencontrai mon vieil ami à l'aéroport.",Я совершенно случайно встретил в аэропорту старого друга.,"Повезло, что я встретил своего старого друга в аэропорту.","Я повезу, когда встречусь с моим старым другом в аэропорту."
10448,Nous avons une bonne vue sur la mer depuis la fenêtre.,У нас из окна прекрасный вид на море.,У нас есть хороший вид на море с окна.,У нас есть хорошее представление о море с окна.
10449,Le baseball ne l'intéresse pas beaucoup.,Бейсбол не очень его интересует.,Бейсбол не очень интересен.,Баббол не очень интересен.
10450,Il s'est marié à une hôtesse de l'air.,Он женился на стюардессе.,Он женился на комнате для воздуха.,Он женился на комнате для воздуха.
10451,Cette lettre a-t-elle été écrite par Mary ?,Это письмо написала Мэри?,Это письмо было написано Мэри?,Это письмо было написано Мэри?
10452,Je me suis assis à côté de lui.,Я сел рядом с ним.,Я сидел рядом с ним.,Я сидел рядом с ним.
10453,"Elle partit faire du shopping, laissant son jeune enfant tout seul.","Она пошла за покупками, оставив своих детей в одиночестве.","Она собиралась сделать шоппинг, оставив своего молодого ребенка в одиночку.","Она собиралась сделать шоппинг, оставив своего ребенка один."
10454,Je n'ai rien à voir avec ce crime.,Я не имею никакого отношения к этому преступлению.,Я не имею никакого отношения к этому преступлению.,Я не имею никакого отношения к этому преступлению.
10455,Il fait gentleman jusqu'au bout des ongles.,Он джентльмен до мозга костей.,Он делает джентльмен до конца ногти.,Он делает джентльмен до конца ногти.
10456,Cette école fut fondée en 1970.,Эта школа была основана в 1970 году.,Эта школа была создана в 1970 году.,Эта школа была основана в 1970 году.
10457,Nous voudrions commander 18 tonnes d'huile d'olive.,Мы хотели бы заказать 18 тонн оливкового масла.,Мы хотели бы заказать 18 тонн оливкового масла.,Нам бы хотелось заказать 18 тонн оливкового масла.
10458,Les Pays-Bas sont un petit pays.,Нидерланды — маленькая страна.,Нидерланды - небольшая страна.,Нидерланды - это небольшая страна.
10459,"Une tasse de thé, s'il vous plait.","Чашку чая, пожалуйста.","О, чашка чая, пожалуйста.","О, чашка чая, пожалуйста."
10461,On m'a proposé le choix entre un thé et un café.,Мне предложили на выбор чай и кофе.,Мне предложили выбор между чаю и кофе.,Мне предложили выбрать между чаю и кофе.
10462,Désolé de ce que j'ai fait.,"Я прошу прощения за то, что я сделал.","Извини за то, что я сделал.","Извините, что я сделала."
10464,"À son arrivée à Londres, il m'a envoyé un télégramme.",По прибытии в Лондон он отправил мне телеграмму.,"Когда он пришёл в Лондон, он отправил мне телеграмму.","Когда он прибыл в Лондон, он отправил мне телеграмму."
10466,"Aussitôt que j'arrive à Londres, je te laisserai un mot.","Как только приеду в Лондон, я тебе черкну.","Как только я приеду в Лондон, я оставлю тебе слово.","Как только я приеду в Лондон, я оставлю тебе слово."
10467,Pense à nous laisser un mot dès que tu arrives à Londres.,"Не забудь черкнуть нам пару слов, как только приедешь в Лондон.","Подумай о том, чтобы дать нам слово, как только ты придешь в Лондон.","Думай, что оставишь нам слово, как только ты придешь в Лондон."
10468,Est-ce vrai que tu vas aller étudier à Londres ?,"Это правда, что ты поедешь учиться в Лондон?",Ты собираешься учиться в Лондоне?,Ты ведь собираешься учиться в Лондоне?
10470,Il y a beaucoup de parcs à Londres.,В Лондоне много парков.,В Лондоне много парков.,В Лондоне много парков.
10471,Il y a beaucoup de jolis parcs à Londres.,В Лондоне много красивых парков.,В Лондоне много красивых парков.,Там много красивых парков в Лондоне.
10472,Quand es-tu allé à Londres ?,Когда ты ездил в Лондон?,Когда ты поехал в Лондон?,Когда ты пошел в Лондон?
10473,Il était très bon au tennis.,Он очень хорошо играл в теннис.,Он был очень хорош в теннисе.,Он был очень хорош в теннисе.
10474,Il joue bien au tennis.,Он хорошо играет в теннис.,Он хорошо играет в теннис.,Он играет в теннис.
10475,C'est un joueur de tennis.,Он теннисист.,Он теннисный игрок.,Это теннисный игрок.
10476,Il a joué au tennis.,Он играл в теннис.,Он играл в теннис.,Он играл в теннис.
10477,J'ai tout le temps une bouteille d'eau minérale sur moi.,У меня всегда с собой бутылка минеральной воды.,У меня всегда есть бутылка минеральной воды.,У меня на меня всегда есть бутылка минеральной воды.
10478,"Sur ce, elle quitta la pièce.",На этом она вышла из комнаты.,На этом она ушла из комнаты.,На этом она бросает комнату.
10479,Je suis Chinois.,Я - китаец.,Я китайец.,Я китайец.
10480,"Dès qu'il fera nuit, les feux d'artifice commenceront.","Фейерверк начнётся, как только стемнеет.","Как только он закончит ночь, начнётся фейерверк.","Когда он придёт ночью, фейерверки начнутся."
10481,Quelqu'un a pris mes chaussures par erreur.,Кто-то по ошибке взял мои туфли.,Кто-то забрал мои туфли по ошибке.,Кто-то ошибался.
10482,Il m'a frappé par erreur.,Он меня случайно ударил.,Он по ошибке ударил меня.,Он ударил меня по ошибке.
10483,Il a pris du poison par erreur.,Он принял яд по ошибке.,Он взял яд по ошибке.,Он снял яд по ошибке.
10485,Il a pris le mauvais bus par erreur.,Он по ошибке сел не на тот автобус.,Он ошибался в автобусе.,Он по ошибке забрал неверный автобус.
10486,J'ai apporté son parapluie par erreur.,Я по ошибке принёс его зонт.,Я принесла его зонтик по ошибке.,Я принесла его зонтик по ошибке.
10487,Combien de temps cela prendra-t-il ?,Сколько времени это займёт?,Сколько времени это займет?,Сколько это займет?
10489,Combien de temps vas-tu rester ?,Ты надолго?,Как долго ты остаешься?,Сколько ты будешь ждать?
10491,C'est la dernière fois.,Это в последний раз.,Это последний раз.,В прошлый раз.
10492,J'étais tout juste à l'heure pour le dernier train.,Я как раз успевал на последний поезд.,Я был в последнее время на поезде.,Я был в последний поезд.
10493,Je serai de retour d'ici une heure.,Я вернусь в течение часа.,Я вернусь через час.,Я вернусь через час.
10494,Les cloches de l'église sonnent.,Звонят церковные колокола.,Церковные колокольчики звонят.,Церковные колоколами звонят.
10495,Où est l'église la plus proche ?,Где находится ближайшая церковь?,Где ближайший церковь?,Где ближе всего церковь?
10496,Je suis convaincu que les choses vont changer pour le mieux.,"Я уверен, что всё изменится к лучшему.","Я уверен, что все изменится ради лучшего.","Уверен, что всё изменится для лучшего."
10498,Rien ne changera mon monde.,Ничто не изменит мой мир.,Ничего не изменит мой мир.,Ничто не изменит мой мир.
10499,Nancy a peur des chiens.,Нэнси боится собак.,Нэнси боится собак.,Нэнси боится собак.
10500,Il n'y a pas de quoi avoir peur.,Бояться нечего.,Ничего страшного.,Нечего бояться.
10501,N'aie pas peur de te tromper.,Не бойся ошибаться.,Не бойся обмануть тебя.,Не бойся обманывать тебя.
10502,La guerre n'est pas inévitable.,Война не неизбежна.,Война неизбежна.,Война не является неизбежной.
10503,Personne n'aime la guerre.,Никто не любит войну.,Никто не любит войну.,Никто не любит войну.
10504,La guerre ne rend personne heureux.,Война не делает никого счастливым.,Война не делает никого счастливым.,Война не делает никого счастливым.
10505,Tu es humain.,Ты - человек.,Ты человек.,Ты человек.
10506,Nous sommes humains.,Мы люди.,Мы люди.,Мы люди.
10507,Vous êtes humains.,Вы люди.,Вы люди.,Вы люди.
10508,Il y a une paire de ciseaux sur le bureau.,На столе лежат ножницы.,На столе есть пара носов.,На столе есть пара носов.
10509,Puis-je emprunter vos ciseaux ?,Можно у вас ножницы одолжить?,Могу я одолжить ваши ножницы?,Можно мне ваши ножницы?
10510,Nous associons souvent le noir à la mort.,Мы часто ассоциируем черный цвет со смертью.,Мы часто присоединяемся к смерти черного.,Мы часто соединены с темнотой смерти.
10511,Je suis étonné par ton audace.,Я поражён твоей смелостью.,Я удивлён твоим адой.,Я удивлён твоим адой.
10512,Vous avez tous les deux été très impressionnants aujourd'hui. Je suis fière de vous.,Вы оба сегодня произвели большое впечатление. Я горжусь вами.,"Сегодня вы оба были очень впечатлены, и я горжусь тобой.","Вы оба были очень впечатлены сегодня, я горжусь тобой."
10513,Internet est une source d'information inestimable.,Интернет — бесценный источник информации.,Интернет - бесценный источник информации.,Интернет - ценный источник информации.
10514,Un lapsus est parfois fatal pour les politiciens.,Оговорки бывают для политиков роковыми.,Иногда для политиков смертельная проволочка.,Иногда зазор для политиков является смертельным.
10515,Qu'est-ce que vous avez ?,Что у Вас есть?,Что у вас?,Что у вас есть?
10516,Il nia avoir pris part au crime.,Он отрицал своё участие в преступлении.,Он не участвовал в преступлении.,Он не участвовал в преступлении.
10517,Je prendrai une coupe de champagne.,Я выпью бокал шампанского.,Я возьму шампанское.,Я возьму шампанское.
10518,Je suis fatigué de regarder la télé.,Я устал смотреть телевизор.,Я устал смотреть телевизор.,Устал смотреть телевизор.
10519,Il y a une subtile différence entre les deux mots.,Здесь есть тонкое различие между двумя словами.,Между этими двумя словами есть тупая разница.,Между двумя словами есть туманная разница.
10520,"Ce qui importe ce n'est pas ce que tu lis, mais comment tu lis.","Важно не что ты читаешь, но как ты читаешь.","Что важно не то, что ты читаешь, а как ты читаешь.","Важно не то, что ты читаешь, а как ты ешь."
10521,Elle s'évanouit quand elle vit du sang.,При виде крови она упала в обморок.,"Она сбежала, когда жила кровью.","Она сбежала, когда живёт кровь."
10522,J'avais juste envie d'entendre le son de ta voix.,Мне просто хотелось услышать звук твоего голоса.,Я просто хотел услышать звук твоего голоса.,Я просто хотел услышать звук твоего голоса.
10523,Combien de fois dois-je te le dire ?,Сколько раз я должен тебе это говорить?,Сколько раз я должен тебе это сказать?,Сколько раз я должна тебе рассказать?
10525,Depuis combien de temps enseignez-vous l'anglais ?,Как долго вы преподаёте английский?,Как долго вы учите английский язык?,Сколько вы учите английский?
10526,Pourriez-vous réduire un peu le prix ?,Не могли бы вы немного скинуть цену?,Не могли бы вы немного снизить цену?,Не могли бы вы немного снизить цену?
10527,Laisse-moi m'en charger.,Предоставь это мне.,Дай мне позаботься об этом.,Дай мне это.
10528,"Si elle s'était mariée avec toi, elle serait heureuse maintenant.","Если бы она вышла за тебя, она бы сейчас была счастлива.","Если бы она вышла замуж за тебя, она была бы счастлива сейчас.","Если бы она вышла замуж за тебя, она бы была счастлива сейчас."
10529,Une chose étrange s'est passée hier soir.,Вчера вечером произошло нечто странное.,Что-то странное произошло прошлой ночью.,Вчера произошло нечто странное.
10530,Cette règle s'applique à toi aussi.,Тебя это правило тоже касается.,Это правило применяется и к тебе.,Это правило также применяется к тебе.
10531,Cette plage est un paradis pour les surfeurs.,Этот пляж - рай для сёрферов.,Этот пляж - рай для суррогатников.,Это пляж для спальней.
10533,C'était une journée si agréable que nous sommes allés nous promener.,"День был настолько прекрасен, что мы пошли гулять.","Это был такой приятный день, когда мы пошли прогуляться.","Это был прекрасный день, когда мы пошли прогуляться."
10534,Je l'ai vue l'autre jour.,Я её на днях видел.,Я видела ее в тот день.,Я видела ее в тот день.
10535,"En cas d'incendie, brisez la vitre et appuyez sur le bouton rouge.",В случае пожара разбейте стекло и нажмите на красную кнопку.,В случае пожара выключите стекло и нажмите красную кнопку.,В случае пожара выключите стекло и нажми красную кнопку.
10536,C'est un évènement important.,Это важное событие.,Это важное событие.,Это важное событие.
10537,Ce dictionnaire m'a été d'une grande utilité.,Этот словарь мне очень пригодился.,Этот словарь был мне очень полезен.,Я очень ценю этот словарь.
10538,Il n'y a pas un nuage dans le ciel.,На небе ни облачка.,На небе нет облака.,На небе нет облака.
10539,Tu aurais dû venir plus tôt.,Тебе надо было раньше прийти.,Ты должен был прийти раньше.,Тебе следовало приехать раньше.
10541,Je garderai ma parole quoi qu'il arrive.,"Я сдержу слово, что бы ни случилось.","Я оставлю свое слово, что бы ни случилось.",Я не буду ничего говорить.
10542,Notre train s'est arrêté soudainement.,Наш поезд внезапно остановился.,Наш поезд внезапно остановился.,Наш поезд внезапно остановился.
10543,"Ensuite nous sommes allés à Kyoto, où nous sommes restés une semaine.","Потом мы поехали в Киото, где пробыли неделю.","Потом мы поехали в Киото, где у нас была неделя.","Потом мы поехали в Киото, где мы были на неделю."
10544,Aucun médicament ne peut guérir cette maladie.,Никакое лекарство не может излечить эту болезнь.,Ни одно лекарство не может вылечить эту болезнь.,"Нет лекарств, которые могут вылечить этот заболевание."
10545,La pluie m'a empêché de sortir.,Из-за дождя я никуда не пошёл.,Дождь помешала мне выбраться.,Дождь меня не вытащил.
10548,Qui est propriétaire de cette maison ?,Кто владелец этого дома?,Кто владелец этого дома?,Кто владелец этого дома?
10549,Malheureusement il n'y avait personne autour.,"К сожалению, вокруг никого не было.","К сожалению, там никого не было.","К сожалению, здесь никого не было."
10550,"Sans ton aide, j'aurais échoué.",Без твоей помощи я бы потерпел неудачу.,Без твоей помощи я бы провалился.,"Без твоей помощи, я бы не смог."
10551,"Carl, tu es obsédé par l'argent.","Карл, ты одержим деньгами.","Карл, ты одержим деньгами.","Карл, ты одержим деньгами."
10552,Oublie les inquiétudes de la vie et apprends à te détendre.,Забудь о жизненных невзгодах и научись расслабляться.,Забудь о проблемах жизни и учись расслабляться.,Не забывай о проблемах жизни и учись расслабляться.
10553,Tom marche lentement.,Том ходит медленно.,Том работает медленно.,Том работает медленно.
